section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,DI_Abinitio_MP_To_BigQuery,,,72,,
summary,semantic_similarity,DI_Abinitio_MP_To_BigQuery,,,88,,
summary,structural_similarity,DI_Abinitio_MP_To_BigQuery,,,45,,
summary,governance_quality,DI_Abinitio_MP_To_BigQuery,,,65,,
summary,migration_readiness,DI_Abinitio_MP_To_BigQuery,,,Requires comprehensive migration with breaking changes,,
scoring,semantic_similarity,DI_Abinitio_MP_To_BigQuery,,,Core agent semantics and conversion logic preserved with high fidelity,,
scoring,structural_similarity,DI_Abinitio_MP_To_BigQuery,,,Major breaking reorganization from flat to nested container structure,,
scoring,governance_quality,DI_Abinitio_MP_To_BigQuery,,,Loss of expectedOutput constraints reduces validation enforceability,,
scoring,overall,DI_Abinitio_MP_To_BigQuery,,,Balanced by strong semantic preservation despite structural disruption,,
deduction,executive_summary,DI_Abinitio_MP_To_BigQuery,,,AAVA 2.0 introduces breaking structural changes while preserving core agent conversion semantics,High migration effort required with coordinated system updates,workflowId: 2490,workFlowDetail.id: 8523
deduction,executive_summary,DI_Abinitio_MP_To_BigQuery,,,Single agent workflow maintains Ab Initio to BigQuery conversion capability,Functional continuity preserved,,
deduction,executive_summary,DI_Abinitio_MP_To_BigQuery,,,Model upgrade and tool structure changes require validation testing,Potential behavior variance in conversion output,,
deduction,structural_analysis,DI_Abinitio_MP_To_BigQuery,,workflowId,Workflow identifier moved from root level to nested workFlowDetail container,Breaking path change requiring orchestration updates,workflowId,workFlowDetail.id
deduction,structural_analysis,DI_Abinitio_MP_To_BigQuery,,workflowName,Workflow name moved to nested container with minor formatting change,Path change with semantic preservation,workflowName,workFlowDetail.name
deduction,schema_evolution,DI_Abinitio_MP_To_BigQuery,,nodes,Root-level nodes array restructured to workflowAgents with container nesting,Major structural reorganization requiring agent remapping,nodes,workflowAgents
deduction,schema_evolution,DI_Abinitio_MP_To_BigQuery,,container,Introduction of workFlowDetail container creates new hierarchical structure,Breaking change requiring path updates across dependent systems,,
deduction,agent_renamed,agent,DI_AbInitio_MP_To_BigQuery,,Agent name updated with minor spacing change while preserving semantic identity,Low semantic risk with cosmetic formatting update,DI_AbInitio_MP_To_BigQuery,DI AbInitio MP To BigQuery
deduction,agent_drift,agent,DI_AbInitio_MP_To_BigQuery,agentId,New agentId field introduced for enhanced agent identification,Improved traceability but requires system updates,not present,6842
deduction,agent_drift,agent,DI_AbInitio_MP_To_BigQuery,model,Model upgraded from gpt-4 to gpt-4.1 indicating enhanced capabilities,Potential behavior variance requiring validation testing,gpt-4,gpt-4.1
deduction,field_change,agent,DI_AbInitio_MP_To_BigQuery,agentName,agentName field removed in favor of direct name field,Simplified naming structure with preserved semantics,agentName,name
deduction,field_change,agent,DI_AbInitio_MP_To_BigQuery,tools,tools array restructured to empty toolReferences array,Tool integration approach changed requiring validation,tools: [FileWriterTool],toolReferences: []
deduction,field_change,agent,DI_AbInitio_MP_To_BigQuery,task,Nested task object flattened into direct description field,Structural simplification with preserved instructional content,task.description,description
deduction,missing_metadata,agent,DI_AbInitio_MP_To_BigQuery,expectedOutput,Expected output specification completely removed,Critical loss of validation enforcement and quality assurance,expectedOutput: detailed specification,not present
deduction,missing_metadata,agent,DI_AbInitio_MP_To_BigQuery,task.expectedOutput,Task-level expected output validation removed,Loss of explicit output format requirements and validation criteria,,
deduction,constraint_change,agent,DI_AbInitio_MP_To_BigQuery,tools,FileWriterTool reference removed from agent configuration,Potential reduction in file output automation capability,,
deduction,governance_issue,DI_Abinitio_MP_To_BigQuery,,validation,Removal of expectedOutput weakens governance controls and auditability,Reduced validation enforceability and quality assurance,,
deduction,governance_issue,agent,DI_AbInitio_MP_To_BigQuery,constraints,Loss of explicit output format constraints reduces compliance verification,Weakened governance framework for conversion quality,,
deduction,risk,agent,DI_AbInitio_MP_To_BigQuery,tools,Tool reference removal may impact automated file generation capability,Execution failure risk for BigQuery SQL output generation,,
deduction,risk,DI_Abinitio_MP_To_BigQuery,,migration,Complete structural reorganization requires coordinated migration across all dependent systems,High operational risk with potential service disruption,,
deduction,risk,agent,DI_AbInitio_MP_To_BigQuery,model,Model upgrade may introduce behavioral changes in conversion logic,Output variance risk requiring comprehensive regression testing,,
deduction,risk,DI_Abinitio_MP_To_BigQuery,,backward_compatibility,Breaking structural changes eliminate backward compatibility,Integration failure risk for existing dependent systems,,
deduction,ambiguity,agent,DI_AbInitio_MP_To_BigQuery,toolReferences,Empty toolReferences array creates uncertainty about tool availability,Unclear tool integration capability for file operations,,
deduction,general_finding,DI_Abinitio_MP_To_BigQuery,,semantic_preservation,Core Ab Initio to BigQuery conversion logic preserved across versions,Strong functional continuity despite structural changes,,
deduction,general_finding,agent,DI_AbInitio_MP_To_BigQuery,description,Detailed conversion instructions maintained with identical content,Preserved domain expertise and conversion methodology,,
deduction,general_finding,DI_Abinitio_MP_To_BigQuery,,agent_count,Single agent workflow structure maintained in both versions,Consistent workflow complexity and execution model,,
deduction,type_change,DI_Abinitio_MP_To_BigQuery,,workflowId,Workflow ID changed from 2490 to 8523 indicating new instance,Potential breaking change for workflow tracking and references,2490,8523
deduction,structural_analysis,agent,DI_AbInitio_MP_To_BigQuery,modelDeploymentName,New modelDeploymentName field replaces model field with enhanced deployment specification,Improved model deployment tracking but requires system updates,model,modelDeploymentName
