section,category,entity,sub_entity,attribute,description,impact,DI_AbInitio_To_BigQuery_DocAnalyze.json_ref,DI_AbInitio_To_BigQuery_Doc&Analyze.json_ref
summary,overall_score,workflow,,,77,,,
summary,semantic_similarity,workflow,,,85,,,
summary,structural_similarity,workflow,,,25,,,
summary,governance_quality,workflow,,,70,,,
summary,migration_readiness,workflow,,,Requires comprehensive migration with breaking changes,,,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents with identical task descriptions,,,
scoring,structural_similarity,workflow,,,Major breaking reorganization from flat to nested structure,,,
scoring,governance_quality,workflow,,,Loss of expectedOutput constraints weakens validation enforcement,,,
scoring,overall,workflow,,,Balanced by high correctness and semantic preservation despite structural changes,,,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,,
deduction,executive_summary,workflow,,,Complete reorganization from flat nodes array to nested workflowAgents structure,Breaking compatibility,,
deduction,executive_summary,workflow,,,All three agents maintain identical task descriptions ensuring semantic consistency,Low semantic risk,,
deduction,executive_summary,workflow,,,Removal of expectedOutput specifications reduces governance controls,Governance degradation,,
deduction,structural_analysis,workflow,,workflowId,Workflow identifier moved from root level to nested workFlowDetail.id,Breaking path change,workflowId,workFlowDetail.id
deduction,structural_analysis,workflow,,workflowName,Workflow name moved from root level to nested workFlowDetail.name with slight formatting change,Breaking path change,workflowName,workFlowDetail.name
deduction,structural_analysis,workflow,,container,Root nodes container completely restructured to workflowAgents,Breaking structural change,nodes,workflowAgents
deduction,schema_evolution,workflow,,nodes,nodes array removed and replaced with workflowAgents,Requires complete orchestration updates,nodes,workflowAgents
deduction,schema_evolution,workflow,,workFlowDetail,New nested container workFlowDetail introduced for workflow metadata,New structural pattern,,workFlowDetail
deduction,agent_renamed,agent,DI_AbInitio_Documentation,,Agent name preserved exactly with no changes,No migration risk,,
deduction,agent_renamed,agent,DI_AbInitio_To_BigQuery_Analyzer,,Agent name preserved exactly with no changes,No migration risk,,
deduction,agent_renamed,agent,DI_AbInitio_To_BigQuery_Plan,,Agent name preserved exactly with no changes,No migration risk,,
deduction,field_change,agent,DI_AbInitio_Documentation,agentName,agentName field renamed to name,Low risk field rename,agentName,name
deduction,field_change,agent,DI_AbInitio_Documentation,model,model field renamed to modelDeploymentName,Field rename with semantic shift,model,modelDeploymentName
deduction,field_change,agent,DI_AbInitio_Documentation,tools,tools field renamed to toolReferences,Low risk field rename,tools,toolReferences
deduction,field_change,agent,DI_AbInitio_Documentation,task,task container flattened into description field,Structural simplification,task,description
deduction,missing_metadata,agent,DI_AbInitio_Documentation,expectedOutput,Expected output specification completely removed,Loss of validation enforcement,task.expectedOutput,
deduction,missing_metadata,agent,DI_AbInitio_Documentation,agentId,No agentId present in AAVA 1.0 but added in AAVA 2.0,New identification pattern,,agentId
deduction,type_change,agent,DI_AbInitio_Documentation,model,Model upgraded from anthropic.claude-4-sonnet to gpt-4.1,Potential behavior variance,anthropic.claude-4-sonnet,gpt-4.1
deduction,field_change,agent,DI_AbInitio_To_BigQuery_Analyzer,agentName,agentName field renamed to name,Low risk field rename,agentName,name
deduction,field_change,agent,DI_AbInitio_To_BigQuery_Analyzer,model,model field renamed to modelDeploymentName,Field rename with semantic shift,model,modelDeploymentName
deduction,field_change,agent,DI_AbInitio_To_BigQuery_Analyzer,tools,tools field renamed to toolReferences,Low risk field rename,tools,toolReferences
deduction,field_change,agent,DI_AbInitio_To_BigQuery_Analyzer,task,task container flattened into description field,Structural simplification,task,description
deduction,missing_metadata,agent,DI_AbInitio_To_BigQuery_Analyzer,expectedOutput,Expected output specification completely removed,Loss of validation enforcement,task.expectedOutput,
deduction,missing_metadata,agent,DI_AbInitio_To_BigQuery_Analyzer,agentId,No agentId present in AAVA 1.0 but added in AAVA 2.0,New identification pattern,,agentId
deduction,type_change,agent,DI_AbInitio_To_BigQuery_Analyzer,model,Model upgraded from gemini-2.5-pro to gpt-4.1,Potential behavior variance,gemini-2.5-pro,gpt-4.1
deduction,field_change,agent,DI_AbInitio_To_BigQuery_Plan,agentName,agentName field renamed to name,Low risk field rename,agentName,name
