section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,workflow,,,67,
summary,semantic_similarity,workflow,,,85,
summary,structural_similarity,workflow,,,25,
summary,governance_quality,workflow,,,70,
summary,migration_readiness,workflow,,,Requires comprehensive migration with breaking changes,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents with consistent prompt logic,
scoring,structural_similarity,workflow,,,Major breaking reorganization with container restructuring,
scoring,governance_quality,workflow,,,Loss of expectedOutput constraints reduces validation enforceability,
scoring,overall,workflow,,,Balanced by high semantic correctness despite structural breaking changes,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required
deduction,executive_summary,workflow,,,Five agents renamed with semantic preservation but structural reorganization,Requires orchestration updates
deduction,executive_summary,workflow,,,Complete workflow container restructuring from flat to nested hierarchy,Breaking path changes
deduction,executive_summary,workflow,,,Loss of expectedOutput specifications weakens governance controls,Reduced validation enforcement
deduction,structural_analysis,workflow,,workflowId,Workflow identifier moved from root level to nested workFlowDetail container,Breaking path change,workflowId,workFlowDetail.id
deduction,structural_analysis,workflow,,workflowName,Workflow name moved from root to nested container with format change,Breaking path change,workflowName,workFlowDetail.name
deduction,schema_evolution,workflow,,container,Root nodes container renamed to workflowAgents with structural reorganization,Requires orchestration updates,nodes,workflowAgents
deduction,schema_evolution,workflow,,hierarchy,Flat workflow structure converted to nested hierarchy with workFlowDetail wrapper,Major architectural change
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_Converter,agentName,Agent renamed to DI AbInitio MP To PySpark with preserved semantic role,Low semantic risk
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_Unit_Tester,agentName,Agent renamed to DI AbInitio To PySpark Unit Tester with preserved semantic role,Low semantic risk
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_Conversion_Tester,agentName,Agent renamed to DI AbInitio To PySpark Conversion Tester with preserved semantic role,Low semantic risk
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_Recon_Tester,agentName,Agent renamed to DI AbInitio To PySpark Recon Tester with preserved semantic role,Low semantic risk
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_Reviewer,agentName,Agent renamed to DI AbInitio To PySpark Reviewer with preserved semantic role,Low semantic risk
deduction,field_change,agent,DI_AbInitio_To_PySpark_Converter,agentName,agentName field replaced with name field,Structural breaking change,agentName,name
deduction,field_change,agent,DI_AbInitio_To_PySpark_Converter,model,model field replaced with modelDeploymentName field,Structural breaking change,model,modelDeploymentName
deduction,field_change,agent,DI_AbInitio_To_PySpark_Converter,tools,tools array replaced with toolReferences array,Structural breaking change,tools,toolReferences
deduction,field_change,agent,DI_AbInitio_To_PySpark_Converter,task,task container replaced with description field,Structural breaking change,task,description
deduction,missing_metadata,agent,DI_AbInitio_To_PySpark_Converter,expectedOutput,Expected output specification completely removed,Loss of validation enforcement
deduction,missing_metadata,agent,DI_AbInitio_To_PySpark_Unit_Tester,expectedOutput,Expected output specification completely removed,Loss of validation enforcement
