section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,72,
summary,semantic_similarity,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,95,
summary,structural_similarity,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,25,
summary,governance_quality,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,75,
summary,migration_readiness,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,Requires comprehensive structural migration with breaking changes,
scoring,semantic_similarity,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,Agent descriptions and core functionality preserved with 95% accuracy,
scoring,structural_similarity,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,Major breaking reorganization from flat nodes array to nested workflowAgents structure,
scoring,governance_quality,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,Loss of expectedOutput constraints reduces validation enforceability,
scoring,overall,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,Balanced by high semantic preservation despite structural breaking changes,
deduction,executive_summary,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics and functionality,High migration effort required with coordinated system updates,
deduction,executive_summary,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,Complete reorganization from flat nodes array to nested workflowAgents structure,Breaking change requiring orchestration updates,
deduction,executive_summary,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,All five agents preserved with identical core functionality and enhanced metadata,Semantic continuity maintained,
deduction,executive_summary,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,,Model upgrades and tooling standardization across all agents,Potential behavior variance requiring validation,
deduction,structural_analysis,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,workflowId,Workflow identifier moved from root workflowId to nested workFlowDetail.id,Breaking path change requiring system updates,workflowId,workFlowDetail.id
deduction,structural_analysis,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,workflowName,Workflow name moved from root workflowName to nested workFlowDetail.name,Breaking path change requiring system updates,workflowName,workFlowDetail.name
deduction,schema_evolution,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,nodes,nodes container renamed to workflowAgents with enhanced structure,Requires agent discovery and orchestration updates,nodes,workflowAgents
deduction,schema_evolution,DI_Azure_Synapse_To_Databricks_DeclarativeSQL_Conversion,,container,Introduction of workFlowDetail container for workflow metadata,New nested structure requiring path updates,,workFlowDetail
