section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,DI_MarkLogic_to_MongoDB_Conversion,,,72,,
summary,semantic_similarity,DI_MarkLogic_to_MongoDB_Conversion,,,88,,
summary,structural_similarity,DI_MarkLogic_to_MongoDB_Conversion,,,45,,
summary,governance_quality,DI_MarkLogic_to_MongoDB_Conversion,,,65,,
summary,migration_readiness,DI_MarkLogic_to_MongoDB_Conversion,,,Requires comprehensive migration with structural reorganization,,
scoring,semantic_similarity,DI_MarkLogic_to_MongoDB_Conversion,,,High semantic preservation across all agents with identical descriptions,,
scoring,structural_similarity,DI_MarkLogic_to_MongoDB_Conversion,,,Major breaking reorganization from nodes to workflowAgents structure,,
scoring,governance_quality,DI_MarkLogic_to_MongoDB_Conversion,,,Loss of expectedOutput constraints reduces validation enforceability,,
scoring,overall,DI_MarkLogic_to_MongoDB_Conversion,,,Balanced by high semantic correctness despite structural changes,,
deduction,executive_summary,DI_MarkLogic_to_MongoDB_Conversion,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,,
deduction,structural_analysis,DI_MarkLogic_to_MongoDB_Conversion,,workflowId,Workflow identifier moved from root to workFlowDetail container and value changed,Breaking path change,workflowId: 1073,workFlowDetail.id: 2595
deduction,structural_analysis,DI_MarkLogic_to_MongoDB_Conversion,,workflowName,Workflow name moved to workFlowDetail container with minor naming change,Breaking path change,workflowName,workFlowDetail.name
deduction,schema_evolution,DI_MarkLogic_to_MongoDB_Conversion,,container,nodes container renamed to workflowAgents,Requires orchestration updates,nodes,workflowAgents
deduction,agent_renamed,agent,MarkLogic_to_MongDB_Converter,,Agent name shortened by removing underscore,Low semantic risk,MarkLogic_to_MongDB_Converter,MarkLogic to MongDB Converter
deduction,agent_renamed,agent,MarkLogic_to_MongDB_Unit_Testing,,Agent name shortened by removing underscores,Low semantic risk,MarkLogic_to_MongDB_Unit_Testing,MarkLogic to MongDB Unit Testing
deduction,agent_renamed,agent,MarkLogic_to_MongDB_Conversion_Tester,,Agent name shortened by removing underscores,Low semantic risk,MarkLogic_to_MongDB_Conversion_Tester,MarkLogic to MongDB Conversion Tester
deduction,agent_renamed,agent,MarkLogic_to_MongDB_Recon_Tester,,Agent name shortened by removing underscores,Low semantic risk,MarkLogic_to_MongDB_Recon_Tester,MarkLogic to MongDB Recon Tester
deduction,agent_renamed,agent,MarkLogic_to_MongDB_Reviewer,,Agent name shortened by removing underscores,Low semantic risk,MarkLogic_to_MongDB_Reviewer,MarkLogic to MongDB Reviewer
deduction,field_change,agent,MarkLogic to MongDB Converter,agentName,agentName field renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,MarkLogic to MongDB Converter,model,model field renamed to modelDeploymentName with version upgrade,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,MarkLogic to MongDB Converter,tools,tools field renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,missing_metadata,agent,MarkLogic to MongDB Converter,agentId,New agentId field added for agent identification,Enhanced traceability,,7077
deduction,missing_metadata,agent,MarkLogic to MongDB Converter,expectedOutput,Expected output specification removed from task structure,Loss of validation enforcement,expectedOutput,
deduction,structural_analysis,agent,MarkLogic to MongDB Converter,task,Task structure flattened into description field,Reduced constraint clarity,task.description,description
deduction,field_change,agent,MarkLogic to MongDB Unit Testing,agentName,agentName field renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,MarkLogic to MongDB Unit Testing,model,model field renamed to modelDeploymentName with version upgrade,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,MarkLogic to MongDB Unit Testing,tools,tools field renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,missing_metadata,agent,MarkLogic to MongDB Unit Testing,agentId,New agentId field added for agent identification,Enhanced traceability,,7068
deduction,missing_metadata,agent,MarkLogic to MongDB Unit Testing,expectedOutput,Expected output specification removed from task structure,Loss of validation enforcement,expectedOutput,
deduction,structural_analysis,agent,MarkLogic to MongDB Unit Testing,task,Task structure flattened into description field,Reduced constraint clarity,task.description,description
deduction,field_change,agent,MarkLogic to MongDB Conversion Tester,agentName,agentName field renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,MarkLogic to MongDB Conversion Tester,model,model field renamed to modelDeploymentName with version upgrade,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,MarkLogic to MongDB Conversion Tester,tools,tools field renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,missing_metadata,agent,MarkLogic to MongDB Conversion Tester,agentId,New agentId field added for agent identification,Enhanced traceability,,7067
deduction,missing_metadata,agent,MarkLogic to MongDB Conversion Tester,expectedOutput,Expected output specification removed from task structure,Loss of validation enforcement,expectedOutput,
deduction,structural_analysis,agent,MarkLogic to MongDB Conversion Tester,task,Task structure flattened into description field,Reduced constraint clarity,task.description,description
deduction,field_change,agent,MarkLogic to MongDB Recon Tester,agentName,agentName field renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,MarkLogic to MongDB Recon Tester,model,model field renamed to modelDeploymentName with version upgrade,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,MarkLogic to MongDB Recon Tester,tools,tools field renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,missing_metadata,agent,MarkLogic to MongDB Recon Tester,agentId,New agentId field added for agent identification,Enhanced traceability,,7056
deduction,missing_metadata,agent,MarkLogic to MongDB Recon Tester,expectedOutput,Expected output specification removed from task structure,Loss of validation enforcement,expectedOutput,
deduction,structural_analysis,agent,MarkLogic to MongDB Recon Tester,task,Task structure flattened into description field,Reduced constraint clarity,task.description,description
deduction,field_change,agent,MarkLogic to MongDB Reviewer,agentName,agentName field renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,MarkLogic to MongDB Reviewer,model,model field renamed to modelDeploymentName with version upgrade,Potential behavior variance,gpt-4o,gpt-4.1
