section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,workflow,,,72,
summary,semantic_similarity,workflow,,,85,
summary,structural_similarity,workflow,,,35,
summary,governance_quality,workflow,,,60,
summary,migration_readiness,workflow,,,Requires comprehensive migration with breaking changes,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents with identical core functionality,
scoring,structural_similarity,workflow,,,Major breaking reorganization with container restructuring and field relocations,
scoring,governance_quality,workflow,,,Significant loss of expectedOutput constraints and validation enforceability,
scoring,overall,workflow,,,Balanced by strong semantic preservation despite structural breaking changes,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,
deduction,executive_summary,workflow,,,Workflow identifier changed from 1116 to 3234 with complete container restructuring,Breaking compatibility impact,
deduction,executive_summary,workflow,,,All five agents maintain functional equivalence but lose explicit output validation,Governance degradation risk,
deduction,executive_summary,workflow,,,Model upgrades from gpt-4o to gpt-4.1 across all agents,Potential behavior variance,
deduction,structural_analysis,workflow,,workflowId,Workflow identifier moved from root to workFlowDetail.id container,Breaking path change,workflowId,workFlowDetail.id
deduction,structural_analysis,workflow,,workflowName,Workflow name moved from root to workFlowDetail.name container,Breaking path change,workflowName,workFlowDetail.name
deduction,schema_evolution,workflow,,nodes,nodes container renamed to workflowAgents,Requires orchestration updates,nodes,workflowAgents
deduction,schema_evolution,workflow,,container,Complete workflow metadata containerization under workFlowDetail,Major structural reorganization,root,workFlowDetail
deduction,agent_renamed,agent,SNOWFLAKE DOCUMENTATION,agentName,Agent name field renamed from agentName to name,Low risk field rename,agentName,name
deduction,agent_drift,agent,SNOWFLAKE DOCUMENTATION,agentId,New agentId field 5772 introduced for agent identification,Enhanced agent tracking,,agentId
deduction,field_change,agent,SNOWFLAKE DOCUMENTATION,model,Model field renamed to modelDeploymentName,Field rename with semantic preservation,model,modelDeploymentName
deduction,type_change,agent,SNOWFLAKE DOCUMENTATION,model,Model upgraded from gpt-4o to gpt-4.1,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,SNOWFLAKE DOCUMENTATION,tools,tools array renamed to toolReferences,Low risk field rename,tools,toolReferences
deduction,missing_metadata,agent,SNOWFLAKE DOCUMENTATION,task,task container structure flattened into description field,Loss of structured task definition,task,description
deduction,missing_metadata,agent,SNOWFLAKE DOCUMENTATION,expectedOutput,expectedOutput specification completely removed,Loss of validation enforcement,expectedOutput,
deduction,governance_issue,agent,SNOWFLAKE DOCUMENTATION,expectedOutput,Removal of expectedOutput weakens governance controls,Reduced auditability,expectedOutput,
deduction,agent_renamed,agent,SNOWFLAKE TO BIGQUERY UNIT TESTER,agentName,Agent name field renamed from agentName to name,Low risk field rename,agentName,name
deduction,agent_drift,agent,SNOWFLAKE TO BIGQUERY UNIT TESTER,agentId,New agentId field 5876 introduced for agent identification,Enhanced agent tracking,,agentId
deduction,field_change,agent,SNOWFLAKE TO BIGQUERY UNIT TESTER,model,Model field renamed to modelDeploymentName,Field rename with semantic preservation,model,modelDeploymentName
deduction,type_change,agent,SNOWFLAKE TO BIGQUERY UNIT TESTER,model,Model upgraded from gpt-4o to gpt-4.1,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,SNOWFLAKE TO BIGQUERY UNIT TESTER,tools,tools array renamed to toolReferences,Low risk field rename,tools,toolReferences
deduction,missing_metadata,agent,SNOWFLAKE TO BIGQUERY UNIT TESTER,task,task container structure flattened into description field,Loss of structured task definition,task,description
deduction,missing_metadata,agent,SNOWFLAKE TO BIGQUERY UNIT TESTER,expectedOutput,expectedOutput specification completely removed,Loss of validation enforcement,expectedOutput,
deduction,governance_issue,agent,SNOWFLAKE TO BIGQUERY UNIT TESTER,expectedOutput,Removal of expectedOutput weakens governance controls,Reduced auditability,expectedOutput,
deduction,agent_renamed,agent,SNOWFLAKE TO BIGQUERY CONVERSION TESTER,agentName,Agent name field renamed from agentName to name,Low risk field rename,agentName,name
deduction,agent_drift,agent,SNOWFLAKE TO BIGQUERY CONVERSION TESTER,agentId,New agentId field 5420 introduced for agent identification,Enhanced agent tracking,,agentId
deduction,field_change,agent,SNOWFLAKE TO BIGQUERY CONVERSION TESTER,model,Model field renamed to modelDeploymentName,Field rename with semantic preservation,model,modelDeploymentName
deduction,type_change,agent,SNOWFLAKE TO BIGQUERY CONVERSION TESTER,model,Model upgraded from gpt-4o to gpt-4.1,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,SNOWFLAKE TO BIGQUERY CONVERSION TESTER,tools,tools array renamed to toolReferences,Low risk field rename,tools,toolReferences
deduction,missing_metadata,agent,SNOWFLAKE TO BIGQUERY CONVERSION TESTER,task,task container structure flattened into description field,Loss of structured task definition,task,description
deduction,missing_metadata,agent,SNOWFLAKE TO BIGQUERY CONVERSION TESTER,expectedOutput,expectedOutput specification completely removed,Loss of validation enforcement,expectedOutput,
deduction,governance_issue,agent,SNOWFLAKE TO BIGQUERY CONVERSION TESTER,expectedOutput,Removal of expectedOutput weakens governance controls,Reduced auditability,expectedOutput,
