section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,DI_AbInitio_To_PySpark_Conversion,,,72,
summary,semantic_similarity,DI_AbInitio_To_PySpark_Conversion,,,88,
summary,structural_similarity,DI_AbInitio_To_PySpark_Conversion,,,45,
summary,governance_quality,DI_AbInitio_To_PySpark_Conversion,,,65,
summary,migration_readiness,DI_AbInitio_To_PySpark_Conversion,,,Requires comprehensive structural migration with agent remapping,
scoring,semantic_similarity,DI_AbInitio_To_PySpark_Conversion,,,High semantic preservation across core agent functionalities with minimal prompt drift,
scoring,structural_similarity,DI_AbInitio_To_PySpark_Conversion,,,Major breaking reorganization from flat nodes array to nested workflowAgents structure,
scoring,governance_quality,DI_AbInitio_To_PySpark_Conversion,,,Loss of expectedOutput constraints reduces validation enforceability,
scoring,overall,DI_AbInitio_To_PySpark_Conversion,,,Balanced by strong semantic preservation despite structural breaking changes,
deduction,executive_summary,DI_AbInitio_To_PySpark_Conversion,,,AAVA 2.0 introduces major structural reorganization while preserving core agent semantics,High migration effort required with breaking path changes,
deduction,structural_analysis,DI_AbInitio_To_PySpark_Conversion,,workflowId,Workflow identifier moved from root level to nested workFlowDetail.id,Breaking path change requiring orchestration updates,workflowId,workFlowDetail.id
deduction,structural_analysis,DI_AbInitio_To_PySpark_Conversion,,workflowName,Workflow name moved from root level to nested workFlowDetail.name with format change,Breaking path change with naming convention update,workflowName,workFlowDetail.name
deduction,schema_evolution,DI_AbInitio_To_PySpark_Conversion,,container,Root nodes array completely replaced with workflowAgents nested structure,Requires complete agent discovery logic rewrite,nodes,workflowAgents
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_Converter,agentName,Agent renamed from DI_AbInitio_To_PySpark_Converter to DI AbInitio MP To PySpark,Low semantic risk with preserved functionality,DI_AbInitio_To_PySpark_Converter,DI AbInitio MP To PySpark
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_Unit_Tester,agentName,Agent renamed from DI_AbInitio_To_PySpark_Unit_Tester to DI AbInitio To PySpark Unit Tester,Low semantic risk with preserved functionality,DI_AbInitio_To_PySpark_Unit_Tester,DI AbInitio To PySpark Unit Tester
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_Conversion_Tester,agentName,Agent renamed from DI_AbInitio_To_PySpark_Conversion_Tester to DI AbInitio To PySpark Conversion Tester,Low semantic risk with preserved functionality,DI_AbInitio_To_PySpark_Conversion_Tester,DI AbInitio To PySpark Conversion Tester
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_Recon_Tester,agentName,Agent renamed from DI_AbInitio_To_PySpark_Recon_Tester to DI AbInitio To PySpark Recon Tester,Low semantic risk with preserved functionality,DI_AbInitio_To_PySpark_Recon_Tester,DI AbInitio To PySpark Recon Tester
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_Reviewer,agentName,Agent renamed from DI_AbInitio_To_PySpark_Reviewer to DI AbInitio To PySpark Reviewer,Low semantic risk with preserved functionality,DI_AbInitio_To_PySpark_Reviewer,DI AbInitio To PySpark Reviewer
deduction,field_change,agent,DI AbInitio MP To PySpark,agentName,agentName attribute replaced with name attribute,Minor structural change with preserved semantic meaning,agentName,name
deduction,field_change,agent,DI AbInitio MP To PySpark,model,model attribute replaced with modelDeploymentName attribute,Structural change affecting model reference pattern,model,modelDeploymentName
deduction,field_change,agent,DI AbInitio MP To PySpark,tools,tools array replaced with toolReferences array,Structural change in tool reference mechanism,tools,toolReferences
deduction,missing_metadata,agent,DI AbInitio MP To PySpark,task,task container structure completely removed,Loss of structured task definition with description and expectedOutput,task,
deduction,field_change,agent,DI AbInitio MP To PySpark,description,task.description flattened to root-level description attribute,Structural flattening with preserved content,task.description,description
deduction,missing_metadata,agent,DI AbInitio MP To PySpark,expectedOutput,expectedOutput specification completely removed,Critical loss of validation enforcement and output specification,task.expectedOutput,
deduction,type_change,agent,DI AbInitio MP To PySpark,model,Model upgraded from anthropic.claude-4-sonnet to gpt-4.1,Potential behavior variance due to model change,anthropic.claude-4-sonnet,gpt-4.1
deduction,field_change,agent,DI AbInitio MP To PySpark,tools,FileWriterTool reference removed from toolReferences,Loss of explicit tool capability declaration,FileWriterTool,
deduction,field_change,agent,DI AbInitio To PySpark Unit Tester,model,Model changed from gpt-4 to gpt-4.1,Minor version upgrade with potential behavior differences,gpt-4,gpt-4.1
deduction,missing_metadata,agent,DI AbInitio To PySpark Unit Tester,expectedOutput,expectedOutput specification completely removed,Loss of validation enforcement for unit test deliverables,task.expectedOutput,
deduction,field_change,agent,DI AbInitio To PySpark Conversion Tester,model,Model changed from gpt-4 to gpt-4.1,Minor version upgrade with potential behavior differences,gpt-4,gpt-4.1
deduction,missing_metadata,agent,DI AbInitio To PySpark Conversion Tester,expectedOutput,expectedOutput specification completely removed,Loss of validation enforcement for conversion test deliverables,task.expectedOutput,
deduction,field_change,agent,DI AbInitio To PySpark Recon Tester,model,Model changed from gpt-4 to gpt-4.1,Minor version upgrade with potential behavior differences,gpt-4,gpt-4.1
deduction,missing_metadata,agent,DI AbInitio To PySpark Recon Tester,expectedOutput,expectedOutput specification completely removed,Loss of validation enforcement for reconciliation test deliverables,task.expectedOutput,
deduction,type_change,agent,DI AbInitio To PySpark Reviewer,model,Model changed from gemini-2.5-pro to gpt-4.1,Significant model change from Gemini to GPT with potential capability differences,gemini-2.5-pro,gpt-4.1
deduction,missing_metadata,agent,DI AbInitio To PySpark Reviewer,expectedOutput,expectedOutput specification completely removed,Loss of validation enforcement for review deliverables,task.expectedOutput,
deduction,governance_issue,DI_AbInitio_To_PySpark_Conversion,,expectedOutput,Systematic removal of expectedOutput across all agents weakens governance controls,Reduced auditability and validation enforceability across entire workflow,
deduction,governance_issue,DI_AbInitio_To_PySpark_Conversion,,task,Removal of structured task containers reduces metadata richness,Loss of explicit task definition structure affects governance,
deduction,schema_evolution,DI_AbInitio_To_PySpark_Conversion,,agentId,Introduction of agentId provides unique agent identification,Improved agent tracking and referencing capability,,agentId
deduction,risk,agent,DI AbInitio MP To PySpark,tools,FileWriterTool reference removal may impact automation capability,Potential execution failure if tool dependency is not handled,FileWriterTool,
deduction,risk,DI_AbInitio_To_PySpark_Conversion,,migration,Complete structural reorganization requires coordinated migration across all dependent systems,High operational risk during migration phase,
deduction,risk,DI_AbInitio_To_PySpark_Conversion,,validation,Loss of expectedOutput specifications reduces runtime validation capability,Increased risk of incorrect outputs without explicit validation,
deduction,ambiguity,DI_AbInitio_To_PySpark_Conversion,,toolReferences,Empty toolReferences arrays create ambiguity about actual tool dependencies,Unclear tool requirements may impact execution planning,
deduction,general_finding,DI_AbInitio_To_PySpark_Conversion,,naming,Consistent naming convention change from underscore to space separation,Improved readability but requires systematic updates,
