section,category,entity,sub_entity,attribute,description,impact,DI_SAS_To_Python_DocAnalyze.json_ref,DI_SAS_To_Python_Doc&Analyze.json_ref
summary,overall_score,workflow,,,72,
summary,semantic_similarity,workflow,,,85,
summary,structural_similarity,workflow,,,45,
summary,governance_quality,workflow,,,75,
summary,migration_readiness,workflow,,,Requires comprehensive structural migration,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents with minimal prompt changes,
scoring,structural_similarity,workflow,,,Major breaking reorganization from flat nodes array to nested workflowAgents structure,
scoring,governance_quality,workflow,,,Loss of expectedOutput constraints reduces validation enforceability,
scoring,overall,workflow,,,Balanced by strong semantic preservation and model upgrades,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces significant structural reorganization while preserving core agent semantics,High migration effort required,,
deduction,executive_summary,workflow,,,Workflow container restructured with breaking path changes,Requires orchestration updates,,
deduction,executive_summary,workflow,,,All agents maintain semantic roles with model upgrades,Low execution risk,,
deduction,executive_summary,workflow,,,Loss of expectedOutput specification weakens governance controls,Reduced validation capability,,
deduction,structural_analysis,workflow,,workflowId,Workflow identifier moved from root.workflowId to workFlowDetail.id,Breaking path change,workflowId,workFlowDetail.id
deduction,structural_analysis,workflow,,workflowName,Workflow name moved from root.workflowName to workFlowDetail.name,Breaking path change,workflowName,workFlowDetail.name
deduction,structural_analysis,workflow,,container,Root nodes container renamed to workflowAgents with nested structure,Requires agent orchestration updates,nodes,workflowAgents
deduction,structural_analysis,workflow,,hierarchy,Flat array structure converted to nested object hierarchy,Major structural breaking change,,
deduction,schema_evolution,workflow,,identifier,Workflow ID changed from 1442 to 2626,Potential reference breaking,1442,2626
deduction,schema_evolution,workflow,,naming,Workflow name changed from DI_SAS_To_Python_Doc&Analyze to DI SAS To Python Doc&Analyze,Minor cosmetic change,,
deduction,agent_renamed,agent,DI_SAS_Documentation,,Agent name changed from DI_SAS_Documentation to DI SAS Documentation,Low semantic risk,DI_SAS_Documentation,DI SAS Documentation
deduction,agent_renamed,agent,Sas_to_Python_Analyzer,,Agent name changed from Sas_to_Python_Analyzer to Sas to Python Analyzer,Low semantic risk,Sas_to_Python_Analyzer,Sas to Python Analyzer
deduction,agent_renamed,agent,Sas_to_Python_Plan,,Agent name unchanged - preserved identity,No risk,Sas_to_Python_Plan,Sas to Python Plan
deduction,agent_drift,agent,DI_SAS_Documentation,agentName,Agent name attribute restructured from agentName to name,Field name change,agentName,name
deduction,agent_drift,agent,DI_SAS_Documentation,agentId,New agentId field added with value 7339,Enhanced identification,,agentId
deduction,agent_drift,agent,DI_SAS_Documentation,model,Model attribute renamed to modelDeploymentName,Field name change,model,modelDeploymentName
deduction,agent_drift,agent,DI_SAS_Documentation,model,Model upgraded from gemini-2.5-pro to gpt-4.1,Potential behavior variance,gemini-2.5-pro,gpt-4.1
deduction,agent_drift,agent,DI_SAS_Documentation,tools,Tools array renamed to toolReferences,Field name change,tools,toolReferences
deduction,agent_drift,agent,DI_SAS_Documentation,task,Task object structure flattened into description field,Structural simplification,task,description
deduction,agent_drift,agent,Sas_to_Python_Analyzer,agentName,Agent name attribute restructured from agentName to name,Field name change,agentName,name
deduction,agent_drift,agent,Sas_to_Python_Analyzer,agentId,New agentId field added with value 7362,Enhanced identification,,agentId
deduction,agent_drift,agent,Sas_to_Python_Analyzer,model,Model attribute renamed to modelDeploymentName,Field name change,model,modelDeploymentName
deduction,agent_drift,agent,Sas_to_Python_Analyzer,model,Model upgraded from gpt-4 to gpt-4.1,Potential behavior variance,gpt-4,gpt-4.1
deduction,agent_drift,agent,Sas_to_Python_Analyzer,tools,Tools array renamed to toolReferences,Field name change,tools,toolReferences
deduction,agent_drift,agent,Sas_to_Python_Analyzer,task,Task object structure flattened into description field,Structural simplification,task,description
deduction,agent_drift,agent,Sas_to_Python_Plan,agentName,Agent name attribute restructured from agentName to name,Field name change,agentName,name
deduction,agent_drift,agent,Sas_to_Python_Plan,agentId,New agentId field added with value 7361,Enhanced identification,,agentId
deduction,agent_drift,agent,Sas_to_Python_Plan,model,Model attribute renamed to modelDeploymentName,Field name change,model,modelDeploymentName
deduction,agent_drift,agent,Sas_to_Python_Plan,model,Model upgraded from gpt-4 to gpt-4.1,Potential behavior variance,gpt-4,gpt-4.1
deduction,agent_drift,agent,Sas_to_Python_Plan,tools,Tools array renamed to toolReferences,Field name change,tools,toolReferences
deduction,agent_drift,agent,Sas_to_Python_Plan,task,Task object structure flattened into description field,Structural simplification,task,description
deduction,field_change,workflow,,nodes,Nodes array completely restructured to workflowAgents,Breaking structural change,nodes,workflowAgents
deduction,field_change,agent,DI_SAS_Documentation,agentName,Agent name field renamed to name,Field rename,agentName,name
deduction,field_change,agent,DI_SAS_Documentation,model,Model field renamed to modelDeploymentName,Field rename,model,modelDeploymentName
deduction,field_change,agent,DI_SAS_Documentation,tools,Tools field renamed to toolReferences,Field rename,tools,toolReferences
deduction,field_change,agent,Sas_to_Python_Analyzer,agentName,Agent name field renamed to name,Field rename,agentName,name
