section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,DI_SSIS_to_PySpark_Conversion,,,75,,
summary,semantic_similarity,DI_SSIS_to_PySpark_Conversion,,,90,,
summary,structural_similarity,DI_SSIS_to_PySpark_Conversion,,,45,,
summary,governance_quality,DI_SSIS_to_PySpark_Conversion,,,80,,
summary,migration_readiness,DI_SSIS_to_PySpark_Conversion,,,Requires comprehensive structural migration,,
scoring,semantic_similarity,DI_SSIS_to_PySpark_Conversion,,,Agent descriptions and core functionality preserved with high fidelity,,
scoring,structural_similarity,DI_SSIS_to_PySpark_Conversion,,,Major breaking reorganization from flat nodes array to nested workflowAgents structure,,
scoring,governance_quality,DI_SSIS_to_PySpark_Conversion,,,Loss of expectedOutput constraints but improved agent identification,,
scoring,overall,DI_SSIS_to_PySpark_Conversion,,,Balanced by strong semantic preservation despite structural changes,,
deduction,executive_summary,DI_SSIS_to_PySpark_Conversion,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,,
deduction,executive_summary,DI_SSIS_to_PySpark_Conversion,,,All five agents successfully mapped with semantic preservation,Low semantic risk,,
deduction,executive_summary,DI_SSIS_to_PySpark_Conversion,,,Complete workflow container restructuring requires coordinated migration,High operational risk,,
deduction,structural_analysis,DI_SSIS_to_PySpark_Conversion,,workflowId,Workflow identifier moved from root to nested workFlowDetail.id,Breaking path change,workflowId,workFlowDetail.id
deduction,structural_analysis,DI_SSIS_to_PySpark_Conversion,,workflowName,Workflow name moved from root to nested workFlowDetail.name,Breaking path change,workflowName,workFlowDetail.name
deduction,schema_evolution,DI_SSIS_to_PySpark_Conversion,,container,nodes container renamed to workflowAgents,Requires orchestration updates,nodes,workflowAgents
deduction,schema_evolution,DI_SSIS_to_PySpark_Conversion,,structure,Flat array structure replaced with nested workflow detail container,Major structural breaking change,,
deduction,agent_renamed,agent,DI_SSIS_to_PySpark_Converter,,Agent name reformatted with space separation,Low semantic risk,DI_SSIS_to_PySpark_Converter,DI SSIS to PySpark Converter
deduction,agent_renamed,agent,DI_SSIS_to_PySpark_Unit_Tester,,Agent name reformatted with space separation,Low semantic risk,DI_SSIS_to_PySpark_Unit_Tester,DI SSIS to PySpark Unit Tester
deduction,agent_renamed,agent,DI_SSIS_to_PySpark_Conversion_Tester,,Agent name reformatted with space separation,Low semantic risk,DI_SSIS_to_PySpark_Conversion_Tester,DI SSIS to PySpark Conversion Tester
deduction,agent_renamed,agent,DI_SSIS_To_PySpark_Recon_Tester,,Agent name reformatted with space separation,Low semantic risk,DI_SSIS_To_PySpark_Recon_Tester,DI SSIS To PySpark Recon Tester
deduction,agent_renamed,agent,DI_SSIS_To_PySpark_Reviewer,,Agent name reformatted with space separation,Low semantic risk,DI_SSIS_To_PySpark_Reviewer,DI SSIS To PySpark Reviewer
deduction,field_change,agent,DI SSIS to PySpark Converter,agentName,agentName field renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,DI SSIS to PySpark Converter,model,model field renamed to modelDeploymentName,Low risk rename,model,modelDeploymentName
deduction,field_change,agent,DI SSIS to PySpark Converter,tools,tools field renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,field_change,agent,DI SSIS to PySpark Converter,task,task container removed and flattened into description,Structural simplification,task,description
deduction,missing_metadata,agent,DI SSIS to PySpark Converter,expectedOutput,Expected output specification removed from all agents,Loss of validation enforcement,,
deduction,field_change,agent,DI SSIS to PySpark Converter,model,Model upgraded from gpt-4 to gpt-4.1,Potential behavior variance,gpt-4,gpt-4.1
deduction,field_change,agent,DI SSIS to PySpark Unit Tester,agentName,agentName field renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,DI SSIS to PySpark Unit Tester,model,model field renamed to modelDeploymentName,Low risk rename,model,modelDeploymentName
deduction,field_change,agent,DI SSIS to PySpark Unit Tester,tools,tools field renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,field_change,agent,DI SSIS to PySpark Unit Tester,task,task container removed and flattened into description,Structural simplification,task,description
deduction,missing_metadata,agent,DI SSIS to PySpark Unit Tester,expectedOutput,Expected output specification removed,Loss of validation enforcement,,
deduction,field_change,agent,DI SSIS to PySpark Unit Tester,model,Model upgraded from gpt-4 to gpt-4.1,Potential behavior variance,gpt-4,gpt-4.1
deduction,field_change,agent,DI SSIS to PySpark Conversion Tester,agentName,agentName field renamed to name,Low risk rename,agentName,name
deduction,field_change,agent,DI SSIS to PySpark Conversion Tester,model,model field renamed to modelDeploymentName,Low risk rename,model,modelDeploymentName
deduction,field_change,agent,DI SSIS to PySpark Conversion Tester,tools,tools field renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,field_change,agent,DI SSIS to PySpark Conversion Tester,task,task container removed and flattened into description,Structural simplification,task,description
deduction,missing_metadata,agent,DI SSIS to PySpark Conversion Tester,expectedOutput,Expected output specification removed,Loss of validation enforcement,,
