section,category,entity,sub_entity,attribute,description,impact,DI_AbInitio_To_PySpark_EMR_Glue_DocAnalyze.json_ref,DI_AbInitio_To_PySpark_EMR_Glue_Doc&Analyze.json_ref
summary,overall_score,workflow,,,77,
summary,semantic_similarity,workflow,,,85,
summary,structural_similarity,workflow,,,25,
summary,governance_quality,workflow,,,70,
summary,migration_readiness,workflow,,,Requires comprehensive migration,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents with identical task descriptions,
scoring,structural_similarity,workflow,,,Major breaking reorganization from flat structure to nested containers,
scoring,governance_quality,workflow,,,Loss of expectedOutput constraints reduces validation enforceability,
scoring,overall,workflow,,,Balanced by high correctness and semantic preservation despite structural changes,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,workflowId,workFlowDetail.id
deduction,executive_summary,workflow,,,Workflow identifier changed from 8573 to 8479 indicating version evolution,Requires system-wide ID mapping updates,8573,8479
deduction,executive_summary,workflow,,,All three agents maintain identical semantic roles with enhanced metadata structure,Low semantic risk but high structural impact,nodes,workflowAgents
deduction,structural_analysis,workflow,,workflowId,Workflow identifier moved from root level to nested workFlowDetail container,Breaking path change requiring orchestration updates,workflowId,workFlowDetail.id
deduction,structural_analysis,workflow,,workflowName,Workflow name moved from root level to nested workFlowDetail container,Breaking path change requiring orchestration updates,workflowName,workFlowDetail.name
deduction,schema_evolution,workflow,,nodes,nodes container renamed to workflowAgents,Requires agent discovery logic updates,nodes,workflowAgents
deduction,schema_evolution,workflow,,container,Introduction of workFlowDetail nested container represents major schema evolution,Breaking change requiring migration planning,root,workFlowDetail
deduction,agent_renamed,agent,DI_AbInitio_Documentation,,Agent name preserved exactly across versions,No semantic risk,DI_AbInitio_Documentation,DI_AbInitio_Documentation
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_EMR_Glue_Analyzer,,Agent name preserved exactly across versions,No semantic risk,DI_AbInitio_To_PySpark_EMR_Glue_Analyzer,DI_AbInitio_To_PySpark_EMR_Glue_Analyzer
deduction,agent_renamed,agent,DI_AbInitio_To_PySpark_EMR_Glue_Plan,,Agent name preserved exactly across versions,No semantic risk,DI_AbInitio_To_PySpark_EMR_Glue_Plan,DI_AbInitio_To_PySpark_EMR_Glue_Plan
deduction,agent_drift,agent,DI_AbInitio_Documentation,agentName,agentName field replaced with name field,Minor structural change,agentName,name
deduction,agent_drift,agent,DI_AbInitio_To_PySpark_EMR_Glue_Analyzer,agentName,agentName field replaced with name field,Minor structural change,agentName,name
deduction,agent_drift,agent,DI_AbInitio_To_PySpark_EMR_Glue_Plan,agentName,agentName field replaced with name field,Minor structural change,agentName,name
deduction,field_change,agent,DI_AbInitio_Documentation,model,model field replaced with modelDeploymentName,Semantic enhancement with deployment context,anthropic.claude-4-sonnet,gpt-4.1
deduction,field_change,agent,DI_AbInitio_To_PySpark_EMR_Glue_Analyzer,model,model field replaced with modelDeploymentName,Semantic enhancement with deployment context,anthropic.claude-4-sonnet,gpt-4.1
deduction,field_change,agent,DI_AbInitio_To_PySpark_EMR_Glue_Plan,model,model field replaced with modelDeploymentName,Semantic enhancement with deployment context,anthropic.claude-4-sonnet,gpt-4.1
deduction,field_change,agent,DI_AbInitio_Documentation,model,Model changed from anthropic.claude-4-sonnet to gpt-4.1,Potential behavior variance requiring validation,anthropic.claude-4-sonnet,gpt-4.1
deduction,field_change,agent,DI_AbInitio_To_PySpark_EMR_Glue_Analyzer,model,Model changed from anthropic.claude-4-sonnet to gpt-4.1,Potential behavior variance requiring validation,anthropic.claude-4-sonnet,gpt-4.1
deduction,field_change,agent,DI_AbInitio_To_PySpark_EMR_Glue_Plan,model,Model changed from anthropic.claude-4-sonnet to gpt-4.1,Potential behavior variance requiring validation,anthropic.claude-4-sonnet,gpt-4.1
deduction,field_change,agent,DI_AbInitio_Documentation,tools,tools field renamed to toolReferences,Low risk semantic enhancement,tools,toolReferences
deduction,field_change,agent,DI_AbInitio_To_PySpark_EMR_Glue_Analyzer,tools,tools field renamed to toolReferences,Low risk semantic enhancement,tools,toolReferences
