section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,workflow,,,72,,,
summary,semantic_similarity,workflow,,,85,,,
summary,structural_similarity,workflow,,,45,,,
summary,governance_quality,workflow,,,75,,,
summary,migration_readiness,workflow,,,Requires comprehensive migration with breaking structural changes,,,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents with identical task descriptions,,,
scoring,structural_similarity,workflow,,,Major breaking reorganization from flat nodes array to nested workFlowDetail structure,,,
scoring,governance_quality,workflow,,,Mixed impact - removal of expectedOutput constraints but addition of agentId tracking,,,
scoring,overall,workflow,,,Balanced by high semantic preservation despite structural breaking changes,,,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,,
deduction,executive_summary,workflow,,,All five agents maintain identical functionality with enhanced identification,Positive evolution,,
deduction,executive_summary,workflow,,,Model upgrades from gpt-4o to gpt-4.1 across all agents,Potential behavior variance,,
deduction,structural_analysis,workflow,,workflowId,Workflow identifier moved from root to nested workFlowDetail.id,Breaking path change,workflowId,workFlowDetail.id
deduction,structural_analysis,workflow,,workflowName,Workflow name moved from root to nested workFlowDetail.name,Breaking path change,workflowName,workFlowDetail.name
deduction,schema_evolution,workflow,,nodes,nodes container renamed to workflowAgents,Requires orchestration updates,nodes,workflowAgents
deduction,structural_analysis,workflow,,container,Introduction of workFlowDetail container creates nested structure,Breaking architectural change,,workFlowDetail
deduction,agent_renamed,agent,Hive to Delta Converter,agentName,Agent name preserved exactly,No semantic risk,agentName,name
deduction,agent_renamed,agent,Hive to Delta Unit Tester,agentName,Agent name preserved exactly,No semantic risk,agentName,name
deduction,agent_renamed,agent,Hive to Delta Conversion Tester,agentName,Agent name preserved exactly,No semantic risk,agentName,name
deduction,agent_renamed,agent,Hive to Delta Recon Tester,agentName,Agent name preserved exactly,No semantic risk,agentName,name
deduction,agent_renamed,agent,Hive to Delta Reviewer,agentName,Agent name preserved exactly,No semantic risk,agentName,name
deduction,field_change,agent,Hive to Delta Converter,agentId,Addition of unique agent identifier (4453),Enhanced traceability,,agentId
deduction,field_change,agent,Hive to Delta Unit Tester,agentId,Addition of unique agent identifier (5834),Enhanced traceability,,agentId
deduction,field_change,agent,Hive to Delta Conversion Tester,agentId,Addition of unique agent identifier (5158),Enhanced traceability,,agentId
deduction,field_change,agent,Hive to Delta Recon Tester,agentId,Addition of unique agent identifier (5393),Enhanced traceability,,agentId
deduction,field_change,agent,Hive to Delta Reviewer,agentId,Addition of unique agent identifier (5775),Enhanced traceability,,agentId
deduction,field_change,agent,Hive to Delta Converter,model,Model upgraded from gpt-4o to gpt-4.1 via modelDeploymentName,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,Hive to Delta Unit Tester,model,Model upgraded from gpt-4o to gpt-4.1 via modelDeploymentName,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,Hive to Delta Conversion Tester,model,Model upgraded from gpt-4o to gpt-4.1 via modelDeploymentName,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,Hive to Delta Recon Tester,model,Model upgraded from gpt-4o to gpt-4.1 via modelDeploymentName,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,Hive to Delta Reviewer,model,Model upgraded from gpt-4o to gpt-4.1 via modelDeploymentName,Potential behavior variance,gpt-4o,gpt-4.1
deduction,field_change,agent,Hive to Delta Converter,tools,tools array renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,field_change,agent,Hive to Delta Unit Tester,tools,tools array renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,field_change,agent,Hive to Delta Conversion Tester,tools,tools array renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,field_change,agent,Hive to Delta Recon Tester,tools,tools array renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,field_change,agent,Hive to Delta Reviewer,tools,tools array renamed to toolReferences,Low risk rename,tools,toolReferences
deduction,agent_drift,agent,Hive to Delta Converter,task,Task structure flattened - description moved to root level,Structural simplification,task.description,description
deduction,agent_drift,agent,Hive to Delta Unit Tester,task,Task structure flattened - description moved to root level,Structural simplification,task.description,description
deduction,agent_drift,agent,Hive to Delta Conversion Tester,task,Task structure flattened - description moved to root level,Structural simplification,task.description,description
deduction,agent_drift,agent,Hive to Delta Recon Tester,task,Task structure flattened - description moved to root level,Structural simplification,task.description,description
deduction,agent_drift,agent,Hive to Delta Reviewer,task,Task structure flattened - description moved to root level,Structural simplification,task.description,description
deduction,missing_metadata,agent,Hive to Delta Converter,expectedOutput,Expected output specification removed,Loss of validation enforcement,task.expectedOutput,
deduction,missing_metadata,agent,Hive to Delta Unit Tester,expectedOutput,Expected output specification removed,Loss of validation enforcement,task.expectedOutput,
deduction,missing_metadata,agent,Hive to Delta Conversion Tester,expectedOutput,Expected output specification removed,Loss of validation enforcement,task.expectedOutput,
deduction,missing_metadata,agent,Hive to Delta Recon Tester,expectedOutput,Expected output specification removed,Loss of validation enforcement,task.expectedOutput,
