section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,workflow,,,77,,
summary,semantic_similarity,workflow,,,85,,
summary,structural_similarity,workflow,,,25,,
summary,governance_quality,workflow,,,70,,
summary,migration_readiness,workflow,,,Requires comprehensive migration,,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents,,
scoring,structural_similarity,workflow,,,Major breaking reorganization,,
scoring,governance_quality,workflow,,,Loss of expectedOutput constraints,,
scoring,overall,workflow,,,Balanced by high correctness and semantic preservation,,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,,
deduction,structural_analysis,workflow,,pipelineId,Workflow identifier moved from root pipeline to workFlowDetail container,Breaking path change,pipeline.pipelineId,data.workFlowDetail.id
deduction,structural_analysis,workflow,,container,Pipeline container renamed to workFlowDetail with data wrapper,Requires orchestration updates,pipeline,data.workFlowDetail
deduction,structural_analysis,workflow,,agents,pipeLineAgents container renamed to workflowAgents,Agent reference updates needed,pipeLineAgents,workflowAgents
deduction,agent_renamed,agent,DI_Token_Size_Estimator_S3_IMS,,Agent renamed to DI Token Size Estimator S3 IMS HP,Low semantic risk,,
deduction,agent_renamed,agent,DI_Pagewise_TML_To_CSV_Converter_S3_IMS,,Agent renamed to DI Pagewise TML To CSV Converter S3 IMS HP,Low semantic risk,,
deduction,agent_renamed,agent,DI_ThoughtSpotSQL_To_Lvdashboard_Converter_S3_IMS,,Agent renamed to DI ThoughtSpotSQL To Lvdashboard Converter S3 IMS HP,Low semantic risk,,
deduction,agent_renamed,agent,DI_PageWise_ThoughtSpotSQL_To_Individual_Lvdashboard_Creator_S3_IMS,,Agent renamed with Clone suffix,Low semantic risk,,
deduction,agent_renamed,agent,DI_Pagewise_Thoughspot_Json_Merger_S3_IMS,,Agent renamed with Clone suffix,Low semantic risk,,
deduction,structural_analysis,agent,DI_Token_Size_Estimator_S3_IMS,structure,Agent structure flattened from nested agent object to direct properties,Breaking structural change,,
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,id,Agent ID changed from 11252 to 16727,Reference update required,11252,16727
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,name,Agent name updated with HP suffix,Minor naming change,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,role,Role field removed from agent metadata,Loss of role clarity,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,goal,Goal field removed from agent metadata,Loss of purpose definition,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,backstory,Backstory field removed from agent metadata,Loss of context information,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,verbose,Verbose setting removed,Loss of execution control,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,allowDelegation,AllowDelegation setting removed,Loss of delegation control,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,task,Task object structure removed,Loss of structured task definition,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,expectedOutput,Expected output specification removed,Loss of validation enforcement,,
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,llm,LLM configuration moved to modelDeploymentName,Configuration restructuring,,
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,model,Model changed from anthropic.claude-4-sonnet to anthropic.claude-4-sonnet,No change in model,,
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,temperature,Temperature changed from 0.1 to 0.5,Behavior variance risk,0.1,0.5
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,topP,TopP changed from 1.0 to 0.9,Parameter adjustment,1.0,0.9
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,maxToken,MaxToken changed from 8000 to 4000 (implied by maxIter),Token limit reduction,8000,4000
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,maxIter,MaxIter changed from 10 to 4000,Significant iteration increase,10,4000
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,maxRpm,MaxRpm changed from 50 to 20,Rate limiting change,50,20
