section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,workflow,,,77,,
summary,semantic_similarity,workflow,,,85,,
summary,structural_similarity,workflow,,,25,,
summary,governance_quality,workflow,,,70,,
summary,migration_readiness,workflow,,,Requires comprehensive migration,,
scoring,semantic_similarity,workflow,,,High semantic preservation across all agents,,
scoring,structural_similarity,workflow,,,Major breaking reorganization due to container restructuring,,
scoring,governance_quality,workflow,,,Loss of expectedOutput constraints reduces validation enforceability,,
scoring,overall,workflow,,,Balanced by high correctness and semantic preservation despite structural changes,,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required,,
deduction,structural_analysis,workflow,,workflowId,Workflow identifier moved from root pipeline to nested workFlowDetail container,Breaking path change,pipeline.pipelineId,data.workFlowDetail.id
deduction,structural_analysis,workflow,,container,Pipeline container renamed to workFlowDetail with nested structure,Requires orchestration updates,pipeline,data.workFlowDetail
deduction,structural_analysis,workflow,,agents,Agent container renamed from pipeLineAgents to workflowAgents,Breaking container change,pipeline.pipeLineAgents,data.workFlowDetail.workflowAgents
deduction,agent_renamed,agent,DI_Token_Size_Estimator_S3_IMS,,Agent renamed to DI Token Size Estimator S3 IMS HP with preserved semantic role,Low semantic risk,,
deduction,agent_renamed,agent,DI_Pagewise_TML_To_CSV_Converter_S3_IMS,,Agent renamed to DI Pagewise TML To CSV Converter S3 IMS HP with preserved semantic role,Low semantic risk,,
deduction,agent_renamed,agent,DI_ThoughtSpotSQL_To_Lvdashboard_Converter_S3_IMS,,Agent renamed to DI ThoughtSpotSQL To Lvdashboard Converter S3 IMS HP with preserved semantic role,Low semantic risk,,
deduction,agent_renamed,agent,DI_PageWise_ThoughtSpotSQL_To_Individual_Lvdashboard_Creator_S3_IMS,,Agent renamed to DI PageWise ThoughtSpotSQL To Individual Lvdashboard Creator S3 IMS HP Clone with preserved semantic role,Low semantic risk,,
deduction,agent_renamed,agent,DI_Pagewise_Thoughspot_Json_Merger_S3_IMS,,Agent renamed to DI Pagewise Thoughspot Json Merger S3 IMS HP Clone with preserved semantic role,Low semantic risk,,
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,id,Agent id field moved from root to agentId within workflowAgents structure,Structural reorganization,agent.id,agentId
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,name,Agent name field moved from root to name within workflowAgents structure,Structural reorganization,agent.name,name
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,role,Agent role field removed in AAVA 2.0,Loss of role specification,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,goal,Agent goal field removed in AAVA 2.0,Loss of goal specification,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,backstory,Agent backstory field removed in AAVA 2.0,Loss of context information,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,verbose,Agent verbose field removed in AAVA 2.0,Loss of verbosity control,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,allowDelegation,Agent allowDelegation field removed in AAVA 2.0,Loss of delegation control,,
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,updatedAt,Agent updatedAt field removed in AAVA 2.0,Loss of timestamp tracking,,
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,llm,LLM configuration restructured to modelDeploymentName and modelName,Configuration reorganization,agent.llm,modelDeploymentName
deduction,missing_metadata,agent,DI_Token_Size_Estimator_S3_IMS,task.expectedOutput,Expected output specification removed,Loss of validation enforcement,,
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,task.description,Task description moved to description field,Field relocation,agent.task.description,description
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,maxIter,MaxIter moved to agentDetails.maxIter,Configuration reorganization,agent.maxIter,agentDetails.maxIter
deduction,field_change,agent,DI_Token_Size_Estimator_S3_IMS,maxRpm,MaxRpm moved to agentDetails.maxRpm,Configuration reorganization,agent.maxRpm,agentDetails.maxRpm
