section,category,entity,sub_entity,attribute,description,impact,aava1_ref,aava2_ref
summary,overall_score,workflow,,,72,
summary,semantic_similarity,workflow,,,85,
summary,structural_similarity,workflow,,,45,
summary,governance_quality,workflow,,,70,
summary,migration_readiness,workflow,,,Requires comprehensive structural migration,
scoring,semantic_similarity,workflow,,,High semantic preservation with identical core prompt logic,
scoring,structural_similarity,workflow,,,Major breaking reorganization of metadata containers,
scoring,governance_quality,workflow,,,Loss of expectedOutput constraint weakens validation,
scoring,overall,workflow,,,Balanced by strong semantic preservation despite structural changes,
deduction,executive_summary,workflow,,,AAVA 2.0 introduces breaking structural changes while preserving core agent semantics,High migration effort required
deduction,executive_summary,workflow,,,Single agent workflow with identical conversion logic but reorganized metadata structure,Requires coordinated migration
deduction,executive_summary,workflow,,,Loss of explicit output validation constraints reduces governance enforceability,Governance degradation
deduction,structural_analysis,workflow,,workflowId,Workflow identifier changed from workflowId to workFlowDetail.id,Breaking path change,workflowId,workFlowDetail.id
deduction,structural_analysis,workflow,,workflowName,Workflow name moved from root to workFlowDetail.name with format change,Container reorganization,workflowName,workFlowDetail.name
deduction,schema_evolution,workflow,,nodes,nodes container renamed to workflowAgents,Requires orchestration updates,nodes,workflowAgents
deduction,schema_evolution,workflow,,container,Root-level agent array moved to nested workflowAgents structure,Breaking structural change,nodes,workflowAgents
deduction,agent_renamed,agent,DI_AbInitio_MP_To_BigQuery,,Agent name preserved with identical semantic role,Low semantic risk
deduction,agent_drift,agent,DI_AbInitio_MP_To_BigQuery,agentName,Agent identifier changed from agentName to name,Metadata field rename,agentName,name
deduction,agent_drift,agent,DI_AbInitio_MP_To_BigQuery,agentId,New agentId field added for unique identification,Enhanced identification,none,agentId
deduction,field_change,agent,DI_AbInitio_MP_To_BigQuery,model,Model field renamed to modelDeploymentName,Field rename,model,modelDeploymentName
deduction,field_change,agent,DI_AbInitio_MP_To_BigQuery,model,Model upgraded from gpt-4 to gpt-4.1,Potential behavior variance,gpt-4,gpt-4.1
deduction,field_change,agent,DI_AbInitio_MP_To_BigQuery,tools,tools field renamed to toolReferences,Field rename,tools,toolReferences
deduction,missing_metadata,agent,DI_AbInitio_MP_To_BigQuery,tools,FileWriterTool reference removed from tool array,Tool capability loss,FileWriterTool,empty_array
deduction,structural_analysis,agent,DI_AbInitio_MP_To_BigQuery,task,task container structure flattened,Container removal,task.description,description
deduction,missing_metadata,agent,DI_AbInitio_MP_To_BigQuery,expectedOutput,Expected output specification completely removed,Loss of validation enforcement,task.expectedOutput,none
deduction,semantic_analysis,agent,DI_AbInitio_MP_To_BigQuery,description,Core prompt logic preserved identically across versions,High semantic consistency
deduction,semantic_analysis,agent,DI_AbInitio_MP_To_BigQuery,prompt,Conversion instructions and process steps maintained exactly,Perfect semantic preservation
deduction,constraint_change,agent,DI_AbInitio_MP_To_BigQuery,validation,Loss of expectedOutput removes explicit validation constraints,Reduced enforceability
deduction,governance_issue,workflow,,constraints,Removal of expectedOutput weakens governance controls,Reduced auditability
deduction,governance_issue,agent,DI_AbInitio_MP_To_BigQuery,traceability,Loss of explicit output specification reduces traceability,Governance degradation
deduction,risk,agent,DI_AbInitio_MP_To_BigQuery,tools,Tool reference removal may reduce automation capability,Execution failure risk
deduction,risk,workflow,,migration,Complete structural reorganization requires coordinated migration,High operational risk
deduction,risk,agent,DI_AbInitio_MP_To_BigQuery,model,Model version upgrade may introduce behavioral changes,Execution variance risk
deduction,risk,workflow,,validation,Loss of expectedOutput constraints reduces runtime validation,Quality assurance risk
deduction,ambiguity,agent,DI_AbInitio_MP_To_BigQuery,tooling,Empty toolReferences array creates ambiguity about available tools,Unclear capability boundaries
deduction,general_finding,workflow,,evolution,AAVA 2.0 represents a structural modernization with preserved semantic core,Modernization with migration overhead
deduction,general_finding,agent,DI_AbInitio_MP_To_BigQuery,consistency,Agent maintains functional consistency despite metadata reorganization,Functional preservation
deduction,general_finding,workflow,,compatibility,Breaking changes require comprehensive migration strategy,Migration planning required
